dataset,site_name,site_id,X,Y,ESA CCI,Chopping et al.,GEDI L4B,Liu et al.,LT-GNN,Menlove & Healey,Xu et al.
Ameriflux,San Joaquin (Freshwater Marsh Tower 2),US-SJ2,-117.855,33.6596,8.764552900864496,0.5539034788951279,7.677481237339342,14.330520629882814,23.127457365907137,0,3.0459495602846998e-12
Ameriflux,Shark River Slough (Tower SRS-6)  Everglades,US-Skr,-81.0776,25.3629,NA,NA,99.13134765625,114.91968536376953,NA,NA,NA
Ameriflux,Silas Little- New Jersey,US-Slt,-74.596,39.9138,NA,NA,122.3958963377017,77.94152069091797,NA,51.28442126656516,NA
Ameriflux,Texas SmartFarm Project,US-SM1,-100.9537,36.3934,3.797038581266451,0,1.0937825303076736,9.196537017822266,NA,0,0
Ameriflux,Sherman Island,US-Snd,-121.754,38.0366,0.3058054772690814,0,2.560627359773019,12.720540521141977,3.7051726668207556,5.4366493225097665,18.159996032714844
Ameriflux,Sherman Island Restored Wetland,US-Sne,-121.7547,38.0369,0.3517713328856098,0,2.415696916732706,12.731319653732191,3.817271103473497,5.436649322509763,18.159996032714844
Ameriflux,Sherman Barn,US-Snf,-121.7272,38.0402,0.22695668682588072,0,1.8925543323224419,12.504311561584473,0.5206303003774888,5.436649322509765,18.159996032714844
Ameriflux,Sky Oaks- Old Stand,US-SO2,-116.6228,33.3738,9.144986380803136,2.212529073783793,16.26649462364649,22.94315528869629,17.096121708521878,2.063970804214478,55.34306716918945
Ameriflux,Sky Oaks- Young Stand,US-SO3,-116.6226,33.3771,11.763137462153558,3.320572957216168,15.440668671230192,22.94315528869629,16.666813141164457,2.063970804214478,55.34306716918945
Ameriflux,Sky Oaks- New Stand,US-SO4,-116.6406,33.3845,4.339520697832091,0.277037989606778,15.954720964370734,22.94315528869629,16.988489622358518,2.063970804214477,55.34306716918945
Ameriflux,Slashpine-Austin Cary- 65yrs nat regen,US-SP1,-82.2188,29.7381,NA,NA,104.18956655504668,72.20954895019531,NA,68.87075805664064,NA
Ameriflux,"Slashpine-Mize-clearcut-3yr,regen",US-SP2,-82.2448,29.7648,NA,NA,75.88400752646888,36.93823831685592,NA,68.8707580566406,NA
Ameriflux,Slashpine-Donaldson-mid-rot- 12yrs,US-SP3,-82.1633,29.7548,NA,NA,71.57079479971176,41.00397795439543,NA,55.04549435501609,NA
Ameriflux,Slashpine-Rayonier-mid-rot- 12yrs,US-SP4,-82.2031,29.8028,NA,NA,69.49027647574866,34.22422409057617,NA,67.96352024164723,NA
Ameriflux,Santa Rita Creosote,US-SRC,-110.8395,31.9083,0,0,1.586097951791858,11.92995548248291,0.29531710842061576,1.5605182647705085,12.70553005610857
Ameriflux,Santa Rita Grassland,US-SRG,-110.8277,31.7894,0.4109296299993153,0,4.822739913698095,11.92995548248291,7.059808613477725,10.402503013610842,52.312870025634766
Ameriflux,Santa Rita Mesquite,US-SRM,-110.8661,31.8214,0.020900672692426795,0,2.618866666115962,11.92995548248291,7.357463713926585,10.402503013610847,19.859975814819336
Ameriflux,Suisun marsh - Rush Ranch,US-Srr,-122.0264,38.2006,0.08177769957130325,0.6895464200113286,1.8228403098153863,22.518062591552734,18.264509668232503,9.755227088928219,56.038628331155635
Ameriflux,Santa Rita Savanna,US-SRS,-110.8508,31.8173,0.0951971868892855,0,3.0446312812446736,11.92995548248291,8.301845652265758,10.402503013610842,19.859975814819336
Ameriflux,Susquehanna Shale Hills Critical Zone Observatory,US-SSH,-77.9041,40.6658,NA,NA,191.57502083615927,68.92650604248047,NA,95.92797088623044,NA
Ameriflux,Saratoga,US-Sta,-106.8024,41.3966,NA,0,2.219392896849928,10.253133773803711,NA,8.04616546630859,1.6490208323743722
Ameriflux,St Jones Reserve,US-StJ,-75.4372,39.0882,NA,NA,29.385004955693557,NA,NA,55.73483768214168,NA
Ameriflux,Strawberry Swamp,US-StS,-79.2492,33.3302,NA,NA,155.5235388244837,104.66316223144531,NA,31.388685226440433,NA
Ameriflux,Sylvania Wilderness Area,US-Syv,-89.3477,46.242,NA,NA,NA,139.1789948219678,NA,91.69925689697267,NA
Ameriflux,"St. John, WA On-farm site Zone 1",US-SZ1,-117.5306,47.1245,0.03748235782955901,NA,4.440153389544589,10.675437927246094,NA,2.571441650390626,10.731205940246582
Ameriflux,"St. John, WA On-farm site Zone 2",US-SZ2,-117.5271,47.1226,0.03747040395692706,NA,4.367091961431651,10.675437927246094,NA,2.5714416503906232,10.731205940246582
Ameriflux,"St. John, WA On-farm site Zone 3",US-SZ3,-117.5267,47.1261,0.03747118926190031,NA,4.740553636739575,10.675437927246092,NA,2.571441650390626,10.731205940246582
Ameriflux,Taylor Slough/Panhandle,US-TaS,-80.6391,25.1908,NA,NA,11.627535827251812,NA,NA,0,NA
Ameriflux,Tall Cypress Swamp,US-TCS,-81.1017,25.8221,NA,NA,57.14608032190116,13.887719154357912,NA,27.177791445102113,NA
Ameriflux,Tenderfoot Creek Experimental Forest,US-TEF,-110.8851,46.9522,54.35581426059161,NA,90.76238706998565,131.83155822753906,NA,74.97007751464842,98.9920883178711
Ameriflux,Thompson Farm Forest,US-TFF,-70.9523,43.1084,NA,NA,149.26171901536958,105.88687896728517,NA,86.76229095458986,NA
Ameriflux,Tonzi Ranch,US-Ton,-120.966,38.4309,3.812464819942007,24.23293047010968,28.628187963401622,23.775894165039062,25.41767126357603,10.820810317993166,27.805683135986328
Ameriflux,Trout Bog,US-TrB,-89.6862,46.0412,NA,NA,110.63851885753623,139.33177185058594,NA,85.33000946044919,NA
Ameriflux,Trout Lake Area South Sparkling Bog,US-TrS,-89.7053,46.0034,NA,NA,132.3058035410906,138.29439448220938,NA,77.80168999217258,NA
Ameriflux,Turner Ranch,US-Tur,-111.2286,45.5571,0.29583806163888254,NA,4.526523494312788,13.816399574279785,NA,0,56.54713439941406
Ameriflux,Twitchell Wetland West Pond,US-Tw1,-121.6469,38.1074,0.24156346716222668,0.036762382448224606,2.3301665917920222,12.504311561584473,10.456041687550437,0,21.65004749897554
Ameriflux,Twitchell Corn,US-Tw2,-121.6365,38.0969,0.08728091927229463,0,2.196608647400117,12.50431156158447,2.851874795535191,0,12.234742679435099
Ameriflux,Twitchell Alfalfa,US-Tw3,-121.6469,38.1152,0.3104335530183163,1.3203254020305443e-4,2.2385318140812984,12.504311561584473,5.895150078294634,0,22.295940399169922
Ameriflux,Twitchell East End Wetland,US-Tw4,-121.6413,38.1027,0.30796715397980706,0.012494201722318193,2.3760965425504357,12.504311561584474,8.579669100735941,0,17.886240351999493
Ameriflux,East Pond Wetland,US-Tw5,-121.6426,38.1072,0.24573811351797759,0.01738671801745864,2.3718252477700603,12.504311561584474,9.0794290473955,0,21.532049407305152
Ameriflux,Twitchell Island,US-Twt,-121.6531,38.1087,0.21997432471484635,0.03762864615153156,2.2863517480608766,12.504311561584473,14.143603981892266,0,22.224911195328538
Ameriflux,Stiles Farm Prairie,US-Tx1,-97.2938,30.6176,NA,NA,3.5224787561538258,25.21706199645996,NA,1.7048722505569447,NA
Ameriflux,Riesel Farm Native Prairie,US-Tx2,-96.8827,31.4802,NA,NA,5.429304266175103,28.223896026611328,NA,2.790081262588499,NA
Ameriflux,Riesel Farm Aspirational Agriculture,US-Tx3,-96.8883,31.4777,NA,NA,4.888565588425626,28.223896026611328,NA,2.790081262588501,NA
Ameriflux,Riesel Farm Traditional Agriculture,US-Tx4,-96.8865,31.4693,NA,NA,4.613528002453664,28.223896026611325,NA,2.7900812625885,NA
Ameriflux,Texas A&M University Farm,US-Tx5,-96.4252,30.5328,NA,NA,7.308890331283507,37.70658493041992,NA,9.223347663879395,NA
Ameriflux,La Copita Grassland - Savanna,US-Tx6,-98.2089,27.6666,NA,NA,3.3486626007321436,21.55224609375,NA,5.876376152038578,NA
Ameriflux,La Copita Shrubland - Savanna,US-Tx7,-98.2007,27.665,NA,NA,3.4403586288435966,21.55224609375,NA,5.8763761520385716,NA
Ameriflux,Danciger Lowland Hardwood Forest,US-Tx8,-95.829,29.1659,NA,NA,NA,20.500194549560547,NA,7.697099685668946,NA
Ameriflux,Sargent Unit Salt Marsh,US-Tx9,-95.6144,28.7805,NA,NA,14.137547492980957,13.684517860412598,NA,NA,NA
Ameriflux,LTAR UCB (Upper Chesapeake Bay) EC1,US-UC1,-78.0056,40.7536,NA,NA,141.9459652266713,83.97823504344689,NA,86.78526306152342,NA
Ameriflux,LTAR UCB (Upper Chesapeake Bay) EC2,US-UC2,-77.9998,40.7559,NA,NA,141.93900840572775,82.42852411957749,NA,86.78526306152351,NA
Ameriflux,East River Riparian,US-UG1,-106.9524,38.923,1.3863280929554158,11.970917581861347,34.48509775562007,14.691249847412108,NA,75.42276000976561,65.85589599609375
Ameriflux,University of Illinois Switchgrass,US-UiA,-88.1961,40.0646,NA,NA,4.7922059538670165,10.739485740661621,NA,0,NA
Ameriflux,University of Illinois Miscanthus,US-UiB,-88.1984,40.0628,NA,NA,4.454961877905261,10.739485740661621,NA,0,NA
Ameriflux,University of Illinois Maize-Soy,US-UiC,-88.1961,40.0628,NA,NA,4.170613930445622,10.739485740661621,NA,0,NA
