product,agb_Mg_ha,year,IGBP_Class,Longitude,Latitude,IGBP_Name,ffp_radius
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-111.3264388,34.37555581,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-104.6897482,34.69030087,Evergreen Needleleaf Forest,1
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-119.7886691,35.62554332,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-109.9865108,35.7244632,Evergreen Needleleaf Forest,1
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-119.7526978,36.49783676,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-106.1735612,36.53380763,Evergreen Needleleaf Forest,1
chopping,-854.3636475,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-122.6214029,39.61830918,Evergreen Needleleaf Forest,1
chopping,26.72727203,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-121.0116906,41.08412187,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-104.8066547,33.5752041,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-108.8803957,35.80539764,Evergreen Needleleaf Forest,1
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-118.3767986,34.17771606,Evergreen Broadleaf Forest,1
chopping,4.454545498,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-119.1861511,35.6165506,Evergreen Broadleaf Forest,1
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-121.2904676,36.52481491,Evergreen Broadleaf Forest,1
chopping,-9999,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-114.375,34.54641741,Evergreen Broadleaf Forest,1
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-116.1285971,34.00685446,Evergreen Broadleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-106.0836331,32.27126029,Evergreen Broadleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-111.3714029,36.21906257,Evergreen Broadleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-108.5206835,33.33240077,Evergreen Broadleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-109.6178058,35.93129566,Evergreen Broadleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-109.051259,32.90974312,Evergreen Broadleaf Forest,1
chopping,253.6363678,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-123.6375899,39.04277536,Evergreen Broadleaf Forest,1
chopping,47.45454788,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-122.5314748,38.89889191,Evergreen Broadleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-106.1915468,34.54641741,Evergreen Broadleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-108.7455036,36.61474207,Evergreen Broadleaf Forest,1
chopping,60,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-119.3390288,36.98344342,Evergreen Broadleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-107.2526978,35.63453604,Evergreen Broadleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-106.0926259,35.40971814,Evergreen Broadleaf Forest,1
chopping,-837.8181763,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-122.9181655,40.57153706,Evergreen Broadleaf Forest,1
chopping,275.5454407,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-123.6016187,39.31255684,Evergreen Broadleaf Forest,1
chopping,33.81818008,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-119.6447842,34.68130815,Evergreen Broadleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-109.4649281,32.19931856,Evergreen Broadleaf Forest,1
